其他頻道,#genre#
国学频道,https://live.ottiptv.cc/mcp/guoxue.m3u8?userid=5559462299&sign=ab4b8519ba08b6529dff85bd67c9066f3f6a876ac3007aa60f59ca8d1aca9a2e1da1c993dc4499b449921f1725a0204a47d17ca3a6022b7a1b26814f21a893c888a76d0d2613abe3f9c6c9e98979&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
cgtndocumentary,https://live.ottiptv.cc/mcp/cgtndoc.m3u8?userid=5559462299&sign=f06e8926cf10751a57b00a63e59c1e913b84b24f7096ce747759e976f399ce8c0c407168625e2c8cb18fe2ffc3f04f66ad620ddd4ffbea7a5f96375872f6b745e57c6d691e8b5ecdde2c16c4868ab3&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
cgtnsp,https://live.ottiptv.cc/mcp/cgtnsp.m3u8?userid=5559462299&sign=dfa546ec11f077dd271ed0a11da82303031fae30010bed62ffa24b37e2d92d7fdbd41e06e213e14845b6802b24ccb3d8847d5fdd2b8f88bed72f2fffe0fae10749b0e74c844a86207061dc3bf275&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
CGTNEN,https://live.ottiptv.cc/mcp/cgtn.m3u8?userid=5559462299&sign=b503d149ce869782a48654d25f788e00b9927e8d021107224b8384365823880fd0a23492d3cf2fe5909b78ed92c621b2c9cbd6454a1353263be7ba6b5340c465201e0797da6ee2fbee71a9ec&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
cgtnfrench,https://live.ottiptv.cc/mcp/cgtnfr.m3u8?userid=5559462299&sign=e15de885ef63bff08a6577867801b65969968bac28f4ce880ed42897b4f6a5d237a8c0d78de989eeaf4d1fdf3240ef464450abe08f0df3e0d2455da368fcad7208e238e18fd414d218004d7ab989&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
cgtnru,https://live.ottiptv.cc/mcp/cgtnru.m3u8?userid=5559462299&sign=b587acd0a5dd7f84801c201792028db4b1af89aff7eed960b3fef7792bde0734bf12e753044be4050620eb8a576b927811bbcf2ba9355fc336e37a51ae6358822c79f083a1c4b8b0a8a8ecf669e9&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
CGTNALBY,https://live.ottiptv.cc/mcp/cgtnar.m3u8?userid=5559462299&sign=8511734079fbea81056a2814ea45aabfebb1b6e57104a4776b841427ca45cabb81695edd6c5bd94bb2ea3d2bdaf11ed5931e55a0b04b04b2f3c83f81ec898cc214a04fb3c2221c822919ed653426&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
江苏教育,http://gslbmgsplive.miguvideo.com/wd_r2/jstv/jsjiaoyu/600/index.m3u8?msisdn=20250903090031d7e536b9e78c4a42b0841922e44a4a36&mdspid=&spid=699067&netType=0&sid=5500287493&pid=2028597139&timestamp=20250903090031&Channel_ID=0116_2600037000-99000-200300220100002&ProgramID=628008321&ParentNodeID=-99&assertID=5500287493&client_ip=106.13.250.83&SecurityKey=20250903090031&promotionId=&mvid=5101012819&mcid=500020&playurlVersion=WX-A1-8.8.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=d3e3bd992ebf554d360ba9b83b9b179d&ddCalcu=dd93v7ea13bbba9db93982be9bafb505643d&sv=10004&ct=android
山东教育,http://gslbmgsplive.miguvideo.com/migu/kailu/sdjyws/51/20250915/index.m3u8?msisdn=20250927080126244a72fa1b554182ae03568fff35bca7&mdspid=&spid=600697&netType=0&sid=5910022199&pid=2028597139&timestamp=20250927080126&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609154353&ParentNodeID=-99&assertID=5910022199&client_ip=106.13.250.83&SecurityKey=20250927080126&promotionId=&mvid=2200208305&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=41ee1554c91427e91ee78ce8b64f7a33&ddCalcu=3431eae27e9f104565b48ce9c18472e7ee19
北京生活,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv7_1/index.m3u8?adapt=0&BR=audio
