4K专区,#genre#
TVB翡翠台,https://stream1.freetv.fun/fei-cui-8.m3u8
纯享4K,https://live.264788.xyz/channel/chunxiang4k?streamid=c9057b857c66fd662170ba7a499871d7&livekey=01Whq5ncXSAY4QR6psQ10H9GL9jLQJCwssQc4
至臻视界4K,http://47.100.209.208:8100/TVOD/3000000001000005308.m3u8
广东4K,http://ddns.xryo.cn:8888/udp/239.111.205.103:5140
深圳4K,http://ddns.xryo.cn:8888/udp/239.111.205.104:5140
东方4K,http://ddns.xryo.cn:8888/udp/239.111.205.67:5140
CCTV,http://27.18.83.20:9100/rtp/239.69.1.12:9712
广东4K超,http://113.119.25.7:58888/udp/239.77.0.245:5146
南国都市4K,http://113.119.25.7:58888/udp/239.253.43.99:5146
爱上,http://219.156.95.119:4022/rtp/225.1.4.162:1204
港澳台频,#genre#
🇦🇹奥地利MOVIESPHERE,https://moviesphereuk-samsunguk.amagi.tv/playlist.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
🇺🇸美国24HOURFREEMOVIES,https://d1j2u714xk898n.cloudfront.net/scheduler/scheduleMaster/145.m3u8
台视新闻,https://t.freetv.fun/live/tai-shi-xin-wen-1.m3u8
台湾生活,http://rihou.cc:555/tv/台湾生活
BBC,https://stream1.freetv.fun/bbc-news-5.m3u8
TVBJ2,https://stream1.freetv.fun/tvb-j2-2.ctv
TVBJ1,https://stream1.freetv.fun/fei-cui-tai-bei-mei-ban-1.ctv
杭州明珠,https://stream1.freetv.fun/hang-zhou-ming-zhu-1.ctv
优漫卡通,https://stream1.freetv.fun/you-man-qia-tong-11.m3u8
三立新闻,https://stream1.freetv.fun/san-li-xin-wen-5.ctv
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-8.m3u8
靖天戏剧,https://stream1.freetv.fun/jing-tian-xi-ju-4.ctv
金鹰卡通,https://stream1.freetv.fun/jin-ying-qia-tong-22.m3u8
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-8.ctv
东森洋片,https://stream1.freetv.fun/dong-sen-yang-pian-3.m3u8
澳视澳门,https://stream1.freetv.fun/ao-shi-ao-men-4.m3u8
TVBPlus,https://stream1.freetv.fun/tvb-plus-9.m3u8
靖天电影,https://cdn12.178.indevs.in/163189/ed33509e03e78c7a
公视戏剧,https://cdn12.178.indevs.in/163189/2973b910e7719c08
Viutv,http://php.jdshipin.com:8880/PLTV/iptv.php?id=viutv
TRACESPORTS,https://lightning-tracesport-samsungau.amagi.tv/playlist1080p.m3u8
GOODTV,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
GOODTV2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
GOOD2,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch2-2.m3u8
BBCEarth,https://amg00793-amg00793c6-xumo-us-2669.playouts.now.amagi.tv/BBCStudios-BBCEarthA-hls/playlist540p.m3u8
🇺🇸美国Foxweather,https://247wlive.foxweather.com/stream/index_1280x720.m3u8
FoxSports,https://d1jzu95oc8fgt3.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-zyqcok4bm0lgq/FOX_Sports.m3u8
龙华经典,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU 84OjKVCwFxMq9iUnx1SdKGszEQ77eUPMh3EhQGxfW_DrcHA-RUB5qqd9CXdde4VDqUPbAK5ueiRRI14rJX BEV-jESAyt7ISf6V5UwKeVCta_NVkWo8XUgU3MxOE5koqG-cv7AtKR_-vPCXMXbFSIyKKnYEcYaMS5KOOT APyJ3PtvOoceJiLiPrhn0uTJ3mvXNjeTutdw5hl5whudRb4_79jGJwrK2xM8gYFRg.m3u8?u=1756878715
龙华戏剧,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU 84OjKVCwFxMq9iUnx1SdKGszEQ77eUPMh3EhdZevQ20rbwp3G_GLipMq4fHN4V12KjEznAL7Sy5oN7M4w7 kZZhMqUplRFdlubfhOVU-IMeuLzlDdoVx_DgKpGHoVx9KhM5ABf4Z8qtB4xp5LI4DcElJIMLS9-SLOI38o ZX-nzhuOaNgxyuddLgRLIMbC2nd5Y5XcRngrvgWxwWPcQ4pyo9Xa-BBD12sRBscNw.m3u8?u=1756878715
龙华经典4GTV,http://220.135.64.124:5050/li-litv-longturn21/index.m3u8?proxy=true
龙华电影4GTV,http://220.135.64.124:5050/li-litv-longturn03/index.m3u8?proxy=true
龙华洋片4GTV,http://220.135.64.124:5050/li-litv-longturn02/index.m3u8?proxy=true
龙华日韩4GTV,http://220.135.64.124:5050/li-litv-longturn11/index.m3u8?proxy=true
龙华戏剧4GTV,http://220.135.64.124:5050/li-litv-longturn18/index.m3u8?proxy=true
龙华卡通4GTV,http://220.135.64.124:5050/li-litv-longturn01/index.m3u8?proxy=true
龙华偶像4GTV,http://220.135.64.124:5050/li-litv-longturn12/index.m3u8?proxy=true
中天新闻,http://220.135.64.124:5050/4gtv-4gtv009/index.m3u8?proxy=true
民视新闻,http://rihou.cc:555/tv/民视新闻
华视新闻,http://220.135.64.124:5050/of-4gtv-4gtv052/index.m3u8?proxy=true
东森新闻,http://165.154.226.214:50007/li-4gtv-4gtv152/index.m3u8?proxy=true
寰宇新闻,http://165.154.226.214:50007/li-litv-longturn14/index.m3u8?proxy=true
Viutvee,https://stream1.freetv.fun/b5a76c27ebc1c319f7f069a1f275c700267fe7f78d2cc1d92d99f3d1c526538d.ctv
东森电影ee,https://stream1.freetv.fun/27aa55ca74d77bfa3ce700470208cb2ef13550344099a33d71e51eb7daecaac3.ctv
Viutvb,https://stream1.freetv.fun/f9680349a9abb624d2210ac1d8bcec0da482ef32c261d90845474ce89fa5f1ea.ctv
ViuTvsixb,https://stream1.freetv.fun/2022de93c6175f00f9f45e21257f2a488e5631f779ee9a6780b403d77e2429b2.ctv
纬来电影ee,https://stream1.freetv.fun/db34787fd35f3a77ba3ecbce0e49cbf8adeeb4e95b54b8869b24fbff95a1686c.ctv
ViuTvsixee,https://stream1.freetv.fun/e7f0d0390abcce0a34dd1fe04d37d4cc2078fe698f620a519b7868e8fd259dcd.ctv
东森戏剧ee,https://stream1.freetv.fun/526fea39c889d7b305702968fe4c4b8422ad57a50f0b0352266fa35b803d882c.ctv
东森洋片ee,https://stream1.freetv.fun/3b48be888da362d343d978fa6a6a6d39c8ec796e80cdb1add7600301a2698910.ctv
东森新闻ee,https://stream1.freetv.fun/867d63b3e3a986cfe7e413f3035ffd0efed7e7aaf13a0f4996548daae12c2392.ctv
中天娱乐ee,https://stream1.freetv.fun/2cae120bcd011f14943570cecc8dc698695733de79d058bbe8d0e4a6049ca411.ctv
中天新闻ee,https://stream1.freetv.fun/35b4903da82b574900d8cd39c49286876368c68a1744275f814eebec785ec0cb.ctv
中天综合ee,https://stream1.freetv.fun/afa4e6d6ed051e8ab7fa5dc77b611bc03422568dba848f026d4454ee72b6c572.ctv
年代新闻ee,https://stream1.freetv.fun/33b4559fa142d50e251c1e0437ddfc3cf6b596f2f63478853d0c386ee28c7641.ctv
纬来戏剧ee,https://stream1.freetv.fun/975aa23361ccf59f1799c03664f6a7aeb7424015efa5034bc2a04a12d48e96a2.ctv
纬来日本ee,https://stream1.freetv.fun/b5b75af6b29e4ad6cb5704cc33b85184c60d29a947ce4d21796c89ea4e935080.ctv
靖天资讯,https://tmxk.pp.ua/litv.php?id=4gtv-4gtv065
民视第一,http://165.154.226.214:50007/li-4gtv-4gtv003/index.m3u8?proxy=true
台视,http://165.154.226.214:50007/li-4gtv-4gtv066/index.m3u8?proxy=true
八大综艺,http://165.154.226.214:50007/li-4gtv-4gtv039/index.m3u8?proxy=true
八大精彩,http://165.154.226.214:50007/li-4gtv-4gtv034/index.m3u8?proxy=true
TVBS精采,http://165.154.226.214:50007/li-4gtv-4gtv067/index.m3u8?proxy=true
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
东风破,https://cfss.cc/api/kg/158899.mp4
龙华日韩1080P,https://t.freetv.fun/live/long-hua-ri-han.m3u8
TVBS新闻,http://rihou.cc:555/tv/[FY]tvbS新闻
靖天映画,https://cdn12.178.indevs.in/163189/bd4752bd7828b2bf
民视影剧,https://cdn12.178.indevs.in/163189/73d93f1c22fa91d7
翡翠,http://r.jdshipin.com/62WM7
明珠,http://r.jdshipin.com/jUx8K
龙华日韩,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?id=litv-longturn11
香港片系列,https://live.ottiptv.cc/huya/29982660
台湾剧专区,https://live.ottiptv.cc/huya/11342436
年代剧专区,https://live.ottiptv.cc/huya/20969095
三立台湾,https://stream1.freetv.fun/san-li-tai-wan-1.ctv
纬来电影,https://stream1.freetv.fun/wei-lai-dian-ying-1.m3u8
CN卡通,https://stream1.freetv.fun/cnqia-tong-3.ctv
生命电视台,http://211.73.19.201/live/AB167E56-808C-81D4-6471-76DC400D5192.m3u8?fmt=x264_1200K_ts&cpid=admin&size=1920X1080
广东嘉佳卡通,http://183.236.43.98:4013/udp/239.77.0.179:5146
江苏优漫卡通,http://114.226.212.155:8787/rtp/239.49.8.119:8000
民视,http://211.72.174.95:8115/0.ts
华视,http://211.72.174.95:8114/0.ts
公视,http://211.72.174.95:8116/0.ts
FOX32Chicago,http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/215737
湖南金鹰卡通,http://27.18.83.20:9100/rtp/239.69.1.248:11130
嘉佳卡通,http://106.116.242.184:9999/rtp/239.254.201.201:7269
影视剧集,#genre#
浙江钱江都市,https://t.freetv.fun/live/zhe-jiang-qian-jiang-du-shi-2.m3u8
上虞文化影院,https://t.freetv.fun/live/shang-yu-wen-hua-ying-yuan.m3u8
安徽影视,https://stream1.freetv.fun/an-hui-ying-shi-14.m3u8
南宁影视娱乐,https://t.freetv.fun/live/nan-zhu-ying-shi-yu-le-3.m3u8
广州影视,https://stream1.freetv.fun/yan-zhou-ying-shi-6.ctv
杭州影视,https://stream1.freetv.fun/hang-zhou-ying-shi-2.ctv
绍兴文化影院,https://stream1.freetv.fun/shao-xing-wen-hua-ying-yuan-4.m3u8
上海都市,https://stream1.freetv.fun/ipv6-shang-hai-du-shi-3.m3u8
东方影视,https://stream1.freetv.fun/ipv6-dong-fang-ying-shi-8.m3u8
辽宁影视剧,https://stream1.freetv.fun/liao-zhu-ying-shi-ju-2.m3u8
辽宁都市,https://stream1.freetv.fun/liao-zhu-du-shi-5.m3u8
湖南都市,https://stream1.freetv.fun/hu-nan-du-shi-9.m3u8
湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-7.m3u8
金鹰纪实,https://stream1.freetv.fun/jin-ying-ji-shi-35.m3u8
湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-2.ctv
湖北影视,https://stream1.freetv.fun/hu-bei-ying-shi-1.ctv
武汉二台电视剧,https://stream1.freetv.fun/wu-yi-2dian-shi-ju-1.m3u8
南宁都市生活,https://stream1.freetv.fun/nan-zhu-du-shi-sheng-huo-3.m3u8
福建电视剧,https://stream1.freetv.fun/fu-jian-dian-shi-ju-1.m3u8
石家庄都市,https://stream1.freetv.fun/shi-jia-zhuang-du-shi-5.ctv
河北都市,https://stream1.freetv.fun/he-bei-du-shi-13.ctv
黑龙江影视,https://stream1.freetv.fun/hei-long-jiang-ying-shi-7.m3u8
黑龙江都市,https://stream1.freetv.fun/hei-long-jiang-du-shi-7.m3u8
淘电影,https://stream1.freetv.fun/tao-dian-ying-8.ctv
经典电影,https://stream1.freetv.fun/jing-dian-dian-ying-9.ctv
天映经典,https://stream1.freetv.fun/tian-ying-jing-dian-5.m3u8
靖洋戏剧,https://cdn12.178.indevs.in/163189/25084ef5a2662aad
影迷数位电影,https://cdn12.178.indevs.in/163189/a643783ec587540e
AMC电影,https://cdn12.178.indevs.in/163189/0bcf9bb8c452e56a
重温经典,https://cdn13.178.indevs.in/163189/21d79187db6e9793
江苏影视,https://stream1.freetv.fun/a89dd489fa013bc4f36bcc4afe388f1783e2251c276e2566a9359d68a61c6d91.ctv
黑莓电影,https://live.264788.xyz/channel/heimeidianying?streamid=aab004fb9a1ea1ac66a7d77d35c1a039&livekey=01Whq5ncXSAY4QR6psF2ryHRcUm37BlrBqXnU
动作电影,https://live.264788.xyz/channel/newtvdongzuodianying?streamid=05ad887268adec6763cb8eafd1c0b6ec&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
军旅剧场,https://live.264788.xyz/channel/newtvjunlvjuchang?streamid=c7ab677d5b32950014da19424a5bc4d7&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
古装剧场,https://live.264788.xyz/channel/newtvguzhuangjuchang?streamid=3dffafcb0b9381eebfa771aa183eb4fc&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
家庭剧场,https://live.264788.xyz/channel/newtvjiatingjuchang?streamid=d77adead2e6dfd2780d2217da5f0fc5b&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
惊悚悬疑,https://live.264788.xyz/channel/newtvjingsongxuanyi?streamid=cefe64289cde2680e596ee3c1c6a4bf2&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
热播精选,https://live.264788.xyz/channel/newtvrebojingxuan?streamid=c0a0801eee0e5ba96ac5d47b4d70f87f&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
精品大剧,https://live.264788.xyz/channel/newtvjingpindaju?streamid=2be57502b2550ccb31be511efc6d2bf9&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
爱情喜剧,https://live.264788.xyz/channel/newtvaiqingxiju?streamid=c18dcc43a2802676f0972d97aa54382f&livekey=01Whq5ncXSAY4QR6q3G3zQhmyaOfTogQmpiTt
新视觉,http://120.76.248.139/live/bfgd/4200000249.m3u8
环球旅游,http://120.76.248.139/live/bfgd/4200000147.m3u8
韩国电影1,https://stream.ads.ottera.tv/playlist.m3u8?network_id=595
文化影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
推流影院,http://222.186.39.38:8000/587078/index.m3u8
1905电影网环球经典,http://129.211.14.102:25000/1905.php?t=1&id=LIVE8J4LTCXPI7QJ5_261
爱情悬崖,https://cfss.cc/api/kg/1128.mp4
Newsmax,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
电影专区,https://iptv.catvod.com/yy/1354930209
科幻片系列,https://live.ottiptv.cc/huya/11352965
悬疑片系列,https://live.ottiptv.cc/huya/21059530
冒险片系列,https://live.ottiptv.cc/huya/21059566
刑侦剧专区,https://live.ottiptv.cc/huya/20969130
都市剧专区,https://live.ottiptv.cc/huya/29982666
怀旧剧专区,https://live.ottiptv.cc/huya/30080241
家庭剧专区,https://live.ottiptv.cc/huya/11352872
抗战剧专区,https://live.ottiptv.cc/huya/30080238
偶像剧专区,https://live.ottiptv.cc/huya/11601964
爱情剧专区,https://live.ottiptv.cc/huya/29982671
古装剧专区,https://live.ottiptv.cc/huya/24314158
扁豆看电影,https://live.ottiptv.cc/huya/16028551
短剧无极限,https://live.ottiptv.cc/huya/31001847
电影狂人A,https://live.ottiptv.cc/huya/18715610
老巴电影,https://live.ottiptv.cc/huya/29340502
止戈电影,https://live.ottiptv.cc/huya/19863777
良少聊漫威,https://live.ottiptv.cc/huya/25523725
电影最TOP,https://live.ottiptv.cc/huya/11774959
救赎电影,https://live.ottiptv.cc/huya/29833341
S哥影视,https://live.ottiptv.cc/huya/24720260
小丑讲电影,https://live.ottiptv.cc/huya/16857432
小丑电影,https://live.ottiptv.cc/huya/29869799
力哥影视,https://live.ottiptv.cc/huya/23419131
爱情公寓,http://live.metshop.top/huya/11336726
刘德华电影,http://cdn.jdshipin.com:8880/huya.php?id=11342424
最长的电影,https://cfss.cc/api/kg/756444.mp4
龙祥电影,http://194.147.100.173/jsy/p.php/?id=XkKJPcq6pvQsIZwEZCQJlA
重温经典影视,http://wonder998.x3322.net:6200/udp/239.253.254.81:8000
CHC动作电影,http://lysj.aylzline.top:8899/rtp/225.1.2.215:11428
CHC家庭影院,http://lysj.aylzline.top:8899/rtp/225.1.2.214:11422
CHC影迷电影,http://lysj.aylzline.top:8899/rtp/225.1.2.210:11398
爱情片系列,https://live.ottiptv.cc/huya/29982639
经典剧专区,https://live.ottiptv.cc/huya/11602081
MAXSPORT3🇧🇬,http://77.46.130.252:99/maxsport3
武汉电视剧,http://27.18.83.20:9100/rtp/239.69.1.146:10512
CHC-家庭影院,http://27.18.83.20:9100/rtp/239.69.1.243:11100
CHC-影迷电影,http://27.18.83.20:9100/rtp/239.69.1.241:11088
CHC-动作电影,http://27.18.83.20:9100/rtp/239.69.1.242:11094
深圳电视剧频道,http://113.119.25.7:58888/udp/239.77.1.177:5146
CCTV-第一剧场,http://27.18.83.20:9100/rtp/239.69.1.74:10084
深圳都市频道,http://113.119.25.7:58888/udp/239.77.1.176:5146
湖南金鹰纪实,http://27.18.83.20:9100/rtp/239.69.1.109:10292
CCTV-风云剧场,http://113.119.25.7:58888/udp/239.253.43.16:5146
CCTV-怀旧剧场,http://113.119.25.7:58888/udp/239.253.43.5:5146
华数城市剧场,http://123.118.52.115:8686/rtp/239.3.1.67:4120
河南都市频道,http://219.156.95.119:4022/rtp/225.1.4.52:1081
河南电视剧频道,http://219.156.95.119:4022/rtp/225.1.4.55:1084
华数爱电影,http://219.156.95.119:4022/rtp/225.1.4.6:1035
华数热播剧场,http://219.156.95.119:4022/rtp/225.1.4.190:1239
华数谍战剧场,http://219.156.95.119:4022/rtp/225.1.4.185:1240
河南调解剧场,http://171.8.171.193:8800/rtp/239.16.20.197:11970
郑州6都市生活,http://171.8.171.193:8800/rtp/239.16.10.159:2000
爱大剧,http://219.156.95.119:4022/rtp/225.1.4.8:1037
上海欢笑剧场,http://171.8.171.193:8800/rtp/239.16.20.39:10390
上海都市剧场,http://171.8.171.193:8800/rtp/239.16.20.38:10380
大剧院,http://171.8.171.193:8800/rtp/239.16.20.217:12170
河北都市频道,http://106.116.126.74:4022/rtp/239.254.200.19:6000
河北影视剧频道,http://106.116.126.74:4022/rtp/239.254.200.20:6000
CCTV第一剧场,http://106.116.126.74:4022/rtp/239.254.201.218:7258
CCTV怀旧剧场,http://106.116.242.184:9999/rtp/239.254.201.220:7256上海
沧州影视娱乐,http://106.116.242.184:9999/rtp/239.254.200.44:6000
CCTV风云剧场,http://60.4.30.177:8077/rtp/239.253.93.251:6429
济南影视,http://144.255.31.236:6688/udp/239.21.1.65:5002
济南都市,http://144.255.31.236:6688/udp/239.21.1.63:5002
淄博都市,http://144.255.31.236:6688/udp/239.21.1.83:5002
CHC电影,http://171.119.206.142:6000/rtp/226.0.2.93:8004
长影频道,http://36.49.53.61:8800/rtp/239.37.0.125:5540
环球奇观,http://36.49.53.61:8800/rtp/239.37.0.105:5540
云南都市频道,http://106.59.2.85:55555/rtp/239.200.200.12:8844
精彩影视,http://39.77.21.53:4002/rtp/239.253.254.142:8000
央视频道,#genre#
CCTV-1综合,https://live.264788.xyz/channel/cctv1?streamid=48c1974280a3a6456c75be0030beaef3&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
CCTV-2财经,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8
CCTV-3综艺,https://live.264788.xyz/channel/cctv3?streamid=eb965ce72d50a8223f2a0bf3b9aa7f22&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
CCTV-4中文国际,http://82.156.243.185:36888/av3a/cctv4kn.m3u8
CCTV-4中文国际,http://223.105.252.60/PLTV/4/224/3221228228/index.m3u8?servicetype=1
CCTV-4中文国际,http://27.18.83.20:9100/rtp/239.69.1.138:10466
CCTV-4中文国际,http://27.18.83.20:9100/rtp/239.69.1.232:11034
CCTV-4中文国际,http://27.18.83.20:9100/rtp/239.69.1.231:11028
CCTV-4中文国际,http://113.119.25.7:58888/udp/239.77.0.194:5146
CCTV-4中文国际,http://106.116.242.184:9999/rtp/239.254.201.206:4220
CCTV-4中文国际,http://106.116.242.184:9999/rtp/239.254.201.205:4220
CCTV-4中文国际,http://144.255.31.236:6688/udp/239.21.2.29:5002
CCTV-5,https://www.freetv.top/migu/641886683.m3u8
CCTV-5,http://82.156.243.185:36888/av3a/cctv5pn.m3u8
CCTV-5+,https://live.264788.xyz/channel/cctv5p?streamid=5abeb9f5977d817ac6912946fd8a363c&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
CCTV-6电影,http://58.57.40.22:9901/tsfile/live/1006_1.m3u8
CCTV-7国防军事,http://114.226.212.155:8787/rtp/239.49.1.254:6000
CCTV-7国防军事,http://58.57.40.22:9901/tsfile/live/1007_1.m3u8
CCTV-8电视剧,https://stream1.freetv.fun/cctv8k-3.m3u8
CCTV-8电视剧,http://58.57.40.22:9901/tsfile/live/1008_1.m3u8
CCTV-9纪录,http://58.57.40.22:9901/tsfile/live/1009_1.m3u8
CCTV-10科教,http://58.57.40.22:9901/tsfile/live/1010_1.m3u8
CCTV-11戏曲,http://58.57.40.22:9901/tsfile/live/1011_1.m3u8
CCTV-12社会与法,http://114.226.212.155:8787/rtp/239.49.8.135:6000
CCTV-12社会与法,http://58.57.40.22:9901/tsfile/live/1012_1.m3u8
CCTV-13新闻,https://cdn13.178.indevs.in/163189/790bc5f7f0f06879
CCTV-14少儿,http://58.57.40.22:9901/tsfile/live/1014_1.m3u8
CCTV-15音乐,https://www.freetv.top/migu/673168223.m3u8
CCTV-16奥林匹克,http://82.156.243.185:36888/av3a/cctv16n.m3u8
CCTV-16奥林匹克,http://27.18.83.20:9100/rtp/239.69.1.247:11124
CCTV-16奥林匹克,http://27.18.83.20:9100/rtp/239.69.1.249:11136
CCTV-17农业农村,https://live.264788.xyz/channel/cctv17?streamid=5705e33cae9af7d4656a7b840eb12b7e&livekey=01Whq5ncXSAY4QR6pxFecNJPn2TD9XzQG6tPi
CCTV-17农业农村,http://114.226.212.155:8787/rtp/239.49.8.132:6000
CETV-1,http://120.76.248.139/live/bfgd/4200000135.m3u8
CCTV,http://223.105.252.59/PLTV/4/224/3221228314/index.m3u8?servicetype=1
广东体育频道,http://183.236.43.98:4013/udp/239.77.0.168:5146
江苏综艺频道,http://114.226.212.155:8787/rtp/239.49.8.108:8000
南京科教频道,http://114.226.212.155:8787/rtp/239.49.0.183:9434
CCTV-央视台球,http://27.18.83.20:9100/rtp/239.69.1.98:10224
湖北综合频道,http://27.18.83.20:9100/rtp/239.69.1.42:9892
广州综合频道,http://113.119.25.7:58888/udp/239.253.43.71:5146
CETV1,http://27.18.83.20:9100/rtp/239.69.1.110:10298
佛山综合频道,http://113.119.25.7:58888/udp/239.253.43.57:5146
揭阳综合频道,http://113.119.25.7:58888/udp/239.77.0.229:5146
江门综合频道,http://113.119.25.7:58888/udp/239.77.0.201:5146
潮州综合频道,http://113.119.25.7:58888/udp/239.253.43.70:5146
肇庆综合频道,http://113.119.25.7:58888/udp/239.253.43.1:5146
河综合频道,http://113.119.25.7:58888/udp/239.253.43.213:5146
茂名综合频道,http://113.119.25.7:58888/udp/239.77.0.206:5146
中山综合频道,http://113.119.25.7:58888/udp/239.253.43.62:5146
云浮综合频道,http://113.119.25.7:58888/udp/239.77.0.253:5146
汕头综合频道,http://113.119.25.7:58888/udp/239.253.43.45:5146
CETV4,http://113.119.25.7:58888/udp/239.253.43.40:5146
CETV早期教育,http://113.119.25.7:58888/udp/239.77.0.180:5146
河南戏曲频道,http://219.156.95.119:4022/rtp/225.1.4.99:1128
CETV2,http://219.156.95.119:4022/rtp/225.1.4.165:1206
洛阳-2科教频道,http://171.8.171.193:8800/rtp/239.16.20.177:11770
南阳3科教频道,http://171.8.171.193:8800/rtp/239.16.10.164:2000
焦作综合频道,http://171.8.171.193:8800/rtp/239.16.20.140:11400
卫辉综合频道,http://171.8.171.193:8800/rtp/239.16.20.191:11910
